Designator,Mid X,Mid Y,Layer,Rotation
R98,60.000000mm,-151.000000mm,Top,0.000000
R99,60.000000mm,-167.000000mm,Top,0.000000
R100,85.000000mm,-151.000000mm,Top,0.000000
R101,85.000000mm,-167.000000mm,Top,0.000000
R105,112.000000mm,-164.500000mm,Top,90.000000
R108,118.000000mm,-170.500000mm,Top,0.000000
R109,19.000000mm,-180.000000mm,Top,0.000000
R111,19.000000mm,-188.000000mm,Top,0.000000
R113,18.000000mm,-195.500000mm,Top,0.000000
R114,35.000000mm,-176.000000mm,Top,0.000000
R115,35.000000mm,-192.000000mm,Top,0.000000
R116,60.000000mm,-176.000000mm,Top,0.000000
R117,60.000000mm,-192.000000mm,Top,0.000000
R118,85.000000mm,-176.000000mm,Top,0.000000
R119,85.000000mm,-192.000000mm,Top,0.000000
R123,112.000000mm,-189.500000mm,Top,90.000000
R126,118.000000mm,-195.500000mm,Top,0.000000
R127,19.000000mm,-205.000000mm,Top,0.000000
R129,19.000000mm,-213.000000mm,Top,0.000000
R131,18.000000mm,-220.500000mm,Top,0.000000
R132,35.000000mm,-201.000000mm,Top,0.000000
R133,35.000000mm,-217.000000mm,Top,0.000000
R134,60.000000mm,-201.000000mm,Top,0.000000
R135,60.000000mm,-217.000000mm,Top,0.000000
R136,85.000000mm,-201.000000mm,Top,0.000000
R137,85.000000mm,-217.000000mm,Top,0.000000
R141,112.000000mm,-214.500000mm,Top,90.000000
R144,118.000000mm,-220.500000mm,Top,0.000000
R145,19.000000mm,-230.000000mm,Top,0.000000
R147,19.000000mm,-238.000000mm,Top,0.000000
R149,18.000000mm,-245.500000mm,Top,0.000000
R150,35.000000mm,-226.000000mm,Top,0.000000
R151,35.000000mm,-242.000000mm,Top,0.000000
R152,60.000000mm,-226.000000mm,Top,0.000000
R153,60.000000mm,-242.000000mm,Top,0.000000
R154,85.000000mm,-226.000000mm,Top,0.000000
R155,85.000000mm,-242.000000mm,Top,0.000000
R159,112.000000mm,-239.500000mm,Top,90.000000
R162,118.000000mm,-245.500000mm,Top,0.000000
R163,19.000000mm,-255.000000mm,Top,0.000000
R165,19.000000mm,-263.000000mm,Top,0.000000
R167,18.000000mm,-270.500000mm,Top,0.000000
R168,35.000000mm,-251.000000mm,Top,0.000000
R169,35.000000mm,-267.000000mm,Top,0.000000
R170,60.000000mm,-251.000000mm,Top,0.000000
R171,60.000000mm,-267.000000mm,Top,0.000000
R172,85.000000mm,-251.000000mm,Top,0.000000
R173,85.000000mm,-267.000000mm,Top,0.000000
R177,112.000000mm,-264.500000mm,Top,90.000000
R180,118.000000mm,-270.500000mm,Top,0.000000
R181,19.000000mm,-280.000000mm,Top,0.000000
R183,19.000000mm,-288.000000mm,Top,0.000000
R185,18.000000mm,-295.500000mm,Top,0.000000
R186,35.000000mm,-276.000000mm,Top,0.000000
R187,35.000000mm,-292.000000mm,Top,0.000000
R188,60.000000mm,-276.000000mm,Top,0.000000
R189,60.000000mm,-292.000000mm,Top,0.000000
R190,85.000000mm,-276.000000mm,Top,0.000000
R191,85.000000mm,-292.000000mm,Top,0.000000
R195,112.000000mm,-289.500000mm,Top,90.000000
R198,118.000000mm,-295.500000mm,Top,0.000000
R199,19.000000mm,-305.000000mm,Top,0.000000
R201,19.000000mm,-313.000000mm,Top,0.000000
R203,18.000000mm,-320.500000mm,Top,0.000000
R204,35.000000mm,-301.000000mm,Top,0.000000
R205,35.000000mm,-317.000000mm,Top,0.000000
R206,60.000000mm,-301.000000mm,Top,0.000000
R207,60.000000mm,-317.000000mm,Top,0.000000
R208,85.000000mm,-301.000000mm,Top,0.000000
R209,85.000000mm,-317.000000mm,Top,0.000000
R213,112.000000mm,-314.500000mm,Top,90.000000
R216,118.000000mm,-320.500000mm,Top,0.000000
