time_s,csp_out_V
0.000000000000000000e+00,0.000000000000000000e+00
5.036553600023672600e-08,0.000000000000000000e+00
1.015655360002393484e-07,0.000000000000000000e+00
1.527655360002431950e-07,0.000000000000000000e+00
2.039655360002470416e-07,0.000000000000000000e+00
2.551655360002508617e-07,0.000000000000000000e+00
3.063655360002547083e-07,0.000000000000000000e+00
3.575655360002585549e-07,0.000000000000000000e+00
4.087655360002624015e-07,0.000000000000000000e+00
4.599655360002662481e-07,0.000000000000000000e+00
5.111655360002700947e-07,0.000000000000000000e+00
5.623655360002739413e-07,0.000000000000000000e+00
6.135655360002777879e-07,0.000000000000000000e+00
6.647655360002816345e-07,0.000000000000000000e+00
7.159655360002854811e-07,0.000000000000000000e+00
7.671655360002893277e-07,0.000000000000000000e+00
8.183655360002931743e-07,0.000000000000000000e+00
8.695655360002970209e-07,0.000000000000000000e+00
9.207655360003008675e-07,0.000000000000000000e+00
9.719655360002660682e-07,0.000000000000000000e+00
9.999500000000000569e-07,0.000000000000000000e+00
9.999750000000001117e-07,-2.349515471067320505e-09
1.000000000000000167e-06,-6.180715672599035315e-08
1.000003858378086470e-06,-8.724586564312630799e-08
1.000009002882201330e-06,-1.333334154196563759e-07
1.000019291890431050e-06,-2.859517564957059221e-07
1.000039869906890702e-06,-9.786079999685171060e-07
1.000050000000000064e-06,-1.568488528391753789e-06
1.000161392728754005e-06,-3.004581776622217149e-05
1.000272785457508158e-06,-1.141471948358230293e-04
1.000322785457508056e-06,-1.727636408759281039e-04
1.000372785457507954e-06,-2.438763476675376296e-04
1.000422785457507851e-06,-3.267336869612336159e-04
1.000472785457507749e-06,-4.203567223157733679e-04
1.000522785457507647e-06,-5.236330325715243816e-04
1.000622785457507443e-06,-7.544314721599221230e-04
1.000722785457507239e-06,-1.009793370030820370e-03
1.000872785457506932e-06,-1.420415588654577732e-03
1.001022785457506626e-06,-1.843465259298682213e-03
1.001447785457505652e-06,-2.980367513373494148e-03
1.001872785457504890e-06,-3.918874077498912811e-03
1.002722785457503154e-06,-5.176470149308443069e-03
1.003572785457501418e-06,-5.863310303539037704e-03
1.005022785457498456e-06,-6.387520581483840942e-03
1.006472785457495495e-06,-6.565697025507688522e-03
1.011997785457484316e-06,-6.664046552032232285e-03
1.017522785457472925e-06,-6.659592036157846451e-03
1.022322785457463122e-06,-6.658993195742368698e-03
1.073522785457358548e-06,-6.652312818914651871e-03
1.124722785457253974e-06,-6.645638495683670044e-03
1.175922785457149401e-06,-6.638970226049423218e-03
1.227122785457044827e-06,-6.632309406995773315e-03
1.278322785456940254e-06,-6.625654641538858414e-03
1.329522785456835680e-06,-6.619006861001253128e-03
1.380722785456731106e-06,-6.612365599721670151e-03
1.431922785456626533e-06,-6.605730857700109482e-03
1.483122785456521959e-06,-6.599103100597858429e-03
1.534322785456417386e-06,-6.592481862753629684e-03
1.585522785456312812e-06,-6.585867609828710556e-03
1.636722785456208238e-06,-6.579259410500526428e-03
1.687922785456103665e-06,-6.572658196091651917e-03
1.739122785455999091e-06,-6.566063500940799713e-03
1.790322785455894517e-06,-6.559475325047969818e-03
1.841522785455789944e-06,-6.552894134074449539e-03
1.892722785455685370e-06,-6.546318996697664261e-03
1.943922785455735592e-06,-6.539750844240188599e-03
1.995122785455847859e-06,-6.533189211040735245e-03
2.046322785455960126e-06,-6.526634097099304199e-03
2.097522785456072392e-06,-6.520085502415895462e-03
2.148722785456184659e-06,-6.513543426990509033e-03
2.199922785456296926e-06,-6.507008336484432220e-03
2.251122785456409193e-06,-6.500479299575090408e-03
2.302322785456521460e-06,-6.493957247585058212e-03
2.353522785456633726e-06,-6.487441249191761017e-03
2.404722785456745993e-06,-6.480932235717773438e-03
2.455922785456858260e-06,-6.474429741501808167e-03
2.507122785456970527e-06,-6.467933300882577896e-03
2.558322785457082794e-06,-6.461443845182657242e-03
2.609522785457195061e-06,-6.454960908740758896e-03
2.660722785457307327e-06,-6.448484025895595551e-03
2.711922785457419594e-06,-6.442014127969741821e-03
2.763122785457531861e-06,-6.435550283640623093e-03
2.814322785457644128e-06,-6.429093424230813980e-03
2.865522785457756395e-06,-6.422642618417739868e-03
2.916722785457868661e-06,-6.416198331862688065e-03
2.967922785457980928e-06,-6.409760564565658569e-03
3.019122785458093195e-06,-6.403329316526651382e-03
3.070322785458205462e-06,-6.396904587745666504e-03
3.121522785458317729e-06,-6.390486378222703934e-03
3.172722785458429996e-06,-6.384074687957763672e-03
3.223922785458542262e-06,-6.377669051289558411e-03
3.275122785458654529e-06,-6.371269933879375458e-03
3.326322785458766796e-06,-6.364877335727214813e-03
3.377522785458879063e-06,-6.358491256833076477e-03
3.428722785458991330e-06,-6.352111231535673141e-03
3.479922785459103596e-06,-6.345737725496292114e-03
3.531122785459215863e-06,-6.339370738714933395e-03
3.582322785459328130e-06,-6.333010271191596985e-03
3.633522785459440397e-06,-6.326655857264995575e-03
3.684722785459552664e-06,-6.320307962596416473e-03
3.735922785459664931e-06,-6.313966587185859680e-03
3.787122785459777197e-06,-6.307631731033325195e-03
3.838322785459889041e-06,-6.301302928477525711e-03
3.889522785460001307e-06,-6.294980179518461227e-03
3.940722785460113574e-06,-6.288664415478706360e-03
3.991922785460225841e-06,-6.282354705035686493e-03
4.043122785460338108e-06,-6.276051048189401627e-03
4.094322785460450375e-06,-6.269753910601139069e-03
4.145522785460562642e-06,-6.263463292270898819e-03
4.196722785460674908e-06,-6.257178727537393570e-03
4.247922785460787175e-06,-6.250900682061910629e-03
4.299122785460899442e-06,-6.244628690183162689e-03
4.350322785461011709e-06,-6.238363217562437057e-03
4.401522785461123976e-06,-6.232103798538446426e-03
4.452722785461236242e-06,-6.225850898772478104e-03
4.503922785461348509e-06,-6.219604052603244781e-03
4.555122785461460776e-06,-6.213363725692033768e-03
4.606322785461573043e-06,-6.207129452377557755e-03
4.657522785461685310e-06,-6.200901698321104050e-03
4.708722785461797577e-06,-6.194679997861385345e-03
4.759922785461909843e-06,-6.188464350998401642e-03
4.811122785462022110e-06,-6.182255223393440247e-03
4.862322785462134377e-06,-6.176052149385213852e-03
4.913522785462246644e-06,-6.169855594635009766e-03
4.964722785462358911e-06,-6.163665093481540680e-03
5.015922785462471177e-06,-6.157480645924806595e-03
5.067122785462583444e-06,-6.151302717626094818e-03
5.118322785462695711e-06,-6.145130842924118042e-03
5.169522785462807978e-06,-6.138965021818876266e-03
5.220722785462920245e-06,-6.132805254310369492e-03
5.271922785463032512e-06,-6.126652006059885025e-03
5.323122785463144778e-06,-6.120504811406135559e-03
5.374322785463257045e-06,-6.114363670349121094e-03
5.425522785463369312e-06,-6.108229048550128937e-03
5.476722785463481579e-06,-6.102100480347871780e-03
5.527922785463593846e-06,-6.095977965742349625e-03
5.579122785463706112e-06,-6.089861504733562469e-03
5.630322785463818379e-06,-6.083751097321510315e-03
5.681522785463930646e-06,-6.077646743506193161e-03
5.732722785464042913e-06,-6.071548908948898315e-03
